customer_id,age,annual_income_usd,months_since_signup,avg_session_length_min,pages_per_session,web_time_sec,app_time_sec,store_visits_30d,purchases_30d,returns_30d,cart_abandon_rate_pct,loyalty_score,signup_days_ago,preferred_channel,device_os,country,day_of_week,is_holiday_season,segment
1,43,84211.0,120,16.0,5,246.0,105,1,2,0,16.3,91.7,3613,store,Android,BR,Mon,0,loyal
2,75,17612.0,111,16.2,2,280.0,537,0,2,0,98.6,40.8,3347,,Android,BR,Sun,0,budget
3,75,24865.0,35,17.0,5,64.0,140,1,4,1,66.5,63.8,1062,web,Android,BR,Wed,0,budget
4,40,32267.0,99,3.4,7,161.0,299,0,3,0,47.0,46.1,2973,web,Android,TR,Tue,0,budget
5,73,61743.0,82,30.7,4,252.0,154,1,3,0,38.0,27.8,2462,app,iOS,TR,Sat,0,budget
6,65,33604.0,63,29.9,10,328.0,68,0,2,0,19.6,61.2,1896,store,Android,US,Tue,0,budget
7,55,43626.0,36,28.4,7,15.0,9,0,2,0,26.9,46.4,1084,app,Android,DE,Thu,0,budget
8,66,28661.0,101,10.3,1,87.0,77,0,1,0,24.2,76.4,3040,web,Android,TR,Fri,0,budget
9,62,37272.0,18,11.6,9,110.0,243,1,3,0,72.8,27.4,556,web,Android,DE,Wed,0,budget
10,74,30816.0,56,12.4,13,319.0,106,0,2,0,40.7,72.6,1681,web,Android,US,Sat,0,budget
11,40,40304.0,63,11.9,7,89.0,14,1,2,0,,42.9,1906,web,Desktop,IN,Sat,0,budget
12,22,70156.0,94,17.5,8,102.0,333,0,3,0,21.8,76.5,2821,mixed,Desktop,IN,Thu,1,loyal
13,44,32040.0,47,1.4,7,267.0,164,2,5,1,55.0,36.2,1413,store,,US,Mon,0,budget
14,36,9278.0,110,20.1,4,209.0,94,1,1,0,62.2,63.6,3315,app,iOS,TR,Fri,0,budget
15,46,61704.0,110,16.7,10,166.0,76,1,4,1,59.4,21.1,3325,store,iOS,US,Wed,0,budget
16,71,55061.0,74,4.6,6,411.0,244,0,2,0,74.1,66.2,2224,app,iOS,TR,Mon,0,budget
17,74,117360.0,88,27.4,4,89.0,101,1,3,1,11.8,24.3,2648,app,Android,BR,Mon,0,budget
